CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed
09290608W15,2014,608 E HIGH ST,03-10-2014,Nuisance,Closed Nuisance,04-02-2014,true
28653013W4,2014,3013 BIRCH TREE LN,03-10-2014,Nuisance,Closed Nuisance,04-02-2014,true
14440338W2,2014,338 OWSLEY AVE,03-10-2014,Nuisance,Closed Nuisance,03-26-2014,true
05410953W2,2014,953 DELAWARE AVE,03-10-2014,Nuisance,Closed Nuisance,03-26-2014,true
05310943W2,2014,943 DAYTON AVE,03-10-2014,Nuisance,Closed Nuisance,04-14-2014,true
10523384W3,2014,3384 KENESAW DR,03-10-2014,Nuisance,Closed Nuisance,03-28-2014,true
10100266W6,2014,266 JEFFERSON ST,03-10-2014,Nuisance,Closed Nuisance,04-14-2014,true
00430568-570W3,2014,568-570 ANNISTON DR,03-11-2014,Nuisance,Closed Nuisance,03-26-2014,true
04731841W3,2014,1841 COURTLAND DR,03-11-2014,Nuisance,Closed Nuisance,03-26-2014,true
19531570W,2014,1570 VAN BUREN DR,03-11-2014,Nuisance,Closed Nuisance,03-26-2014,true
09290558W14,2014,558 E HIGH ST,03-11-2014,Nuisance,Closed Nuisance,04-02-2014,true
14300312W14,2014,312 OLDHAM AVE,03-11-2014,Nuisance,Closed Nuisance,04-02-2014,true
05090508W,2014,508 DABNEY DR,03-11-2014,Nuisance,Closed Nuisance,03-27-2014,true
17740150W2,2014,150 ST ANN DR,03-11-2014,Nuisance,Closed Nuisance,03-31-2014,true
14200629W,2014,629 OHIO ST,03-11-2014,Nuisance,Closed Nuisance,03-27-2014,true
36824305W2,2014,4305 CHAS CIR,03-11-2014,Nuisance,Closed Nuisance,03-31-2014,true
21273199W27,2014,3199 YELLOWSTONE PKWY,03-11-2014,Nuisance,Closed Nuisance,04-07-2014,true
14800548W5,2014,548 PEMBERTON ST,03-11-2014,Nuisance,Closed Nuisance,03-14-2014,true
14800544W3,2014,544 PEMBERTON ST,03-11-2014,Nuisance,Closed Nuisance,03-14-2014,true
03910565W8,2014,565 CHESTNUT ST,03-11-2014,Nuisance,Closed Nuisance,03-26-2014,true
07020427-429W12,2014,427-429 E FIFTH ST,03-11-2014,Nuisance,Closed Nuisance,03-26-2014,true
14200514W,2014,514 OHIO ST,03-11-2014,Nuisance,Closed Nuisance,03-26-2014,true
14200549W6,2014,549 OHIO ST,03-11-2014,Nuisance,Closed Nuisance,03-26-2014,true
07020407W5,2014,407 E FIFTH ST,03-11-2014,Nuisance,Closed Nuisance,03-25-2014,true
03910514W9,2014,514 CHESTNUT ST,03-11-2014,Nuisance,Closed Nuisance,03-25-2014,true
03910525W4,2014,525 CHESTNUT ST,03-11-2014,Nuisance,Closed Nuisance,03-25-2014,true
03910534W2,2014,534 CHESTNUT ST,03-11-2014,Nuisance,Closed Nuisance,03-25-2014,true
14200627W3,2014,627 OHIO ST,03-11-2014,Nuisance,Closed Nuisance,03-27-2014,true
14200647W7,2014,647 OHIO ST,03-11-2014,Nuisance,Closed Nuisance,03-27-2014,true
14200651W3,2014,651 OHIO ST,03-11-2014,Nuisance,Closed Nuisance,03-27-2014,true
14200659W3,2014,659 OHIO ST,03-11-2014,Nuisance,Closed Nuisance,03-27-2014,true
06470660W9,2014,660 ELM TREE LN,03-11-2014,Nuisance,Closed Nuisance,03-27-2014,true
14200612W5,2014,612 OHIO ST,03-11-2014,Nuisance,Closed Nuisance,03-27-2014,true
14800528W3,2014,528 PEMBERTON ST,03-11-2014,Nuisance,Closed Nuisance,03-27-2014,true
14800550W3,2014,550 PEMBERTON ST,03-11-2014,Nuisance,Closed Nuisance,03-27-2014,true
14800537W6,2014,537 PEMBERTON ST,03-11-2014,Nuisance,Closed Nuisance,03-27-2014,true
14800536W5,2014,536 PEMBERTON ST,03-11-2014,Nuisance,Closed Nuisance,03-27-2014,true
17300403W2,2014,403 E SIXTH ST,03-11-2014,Nuisance,Closed Nuisance,03-27-2014,true
17300310W2,2014,310 E SIXTH ST,03-11-2014,Nuisance,Closed Nuisance,03-27-2014,true
06470548W4,2014,548 ELM TREE LN,03-11-2014,Nuisance,Closed Nuisance,03-27-2014,true
06470562W2,2014,562 ELM TREE LN,03-11-2014,Nuisance,Closed Nuisance,03-31-2014,true
14800524W4,2014,524 PEMBERTON ST,03-11-2014,Nuisance,Closed Nuisance,04-14-2014,true
19930801W7,2014,801 WARD DR,03-12-2014,Nuisance,Closed Nuisance,03-27-2014,true
19930805W8,2014,805 WARD DR,03-12-2014,Nuisance,Closed Nuisance,03-27-2014,true
19930809W4,2014,809 WARD DR,03-12-2014,Nuisance,Closed Nuisance,03-27-2014,true
19930813W7,2014,813 WARD DR,03-12-2014,Nuisance,Closed Nuisance,03-27-2014,true
15620400W3,2014,400 RADCLIFFE RD,03-12-2014,Nuisance,Closed Nuisance,04-03-2014,true
40961180W,2014,1180 BRICK HOUSE LN,03-12-2014,Nuisance,Closed Nuisance,03-31-2014,true
34492848W,2014,2848 RYAN CIR,03-12-2014,Nuisance,Closed Nuisance,03-31-2014,true
34492813W3,2014,2813 RYAN CIR,03-12-2014,Nuisance,Closed Nuisance,03-31-2014,true
02600131W7,2014,131 BROWN AVE,03-12-2014,Nuisance,Closed Nuisance,03-31-2014,true
00503187W#B,2014,3187 AQUEDUCT DR #B,03-12-2014,Nuisance,Closed Nuisance,04-02-2014,true
11401317W8,2014,1317 LEANING TREE LN,03-12-2014,Nuisance,Closed Nuisance,04-10-2014,true
15600323W7,2014,323 RACE ST,03-12-2014,Nuisance,Closed Nuisance,04-15-2014,true
16290388W5,2014,388 ROOSEVELT BLVD,03-13-2014,Nuisance,Closed Nuisance,04-08-2014,true
00771590W,2014,1590 ASTAIRE CT,03-13-2014,Nuisance,Closed Nuisance,03-28-2014,true
10660533W6,2014,533 KILDARE CT,03-13-2014,Nuisance,Closed Nuisance,03-28-2014,true
19930841W12,2014,841 WARD DR,03-13-2014,Nuisance,Closed Nuisance,03-28-2014,true
19930869W9,2014,869 WARD DR,03-13-2014,Nuisance,Closed Nuisance,03-28-2014,true
34492856W5,2014,2856 RYAN CIR,03-13-2014,Nuisance,Closed Nuisance,03-31-2014,true
00510122W5,2014,122 ARCADIA PARK,03-13-2014,Nuisance,Closed Nuisance,04-02-2014,true
06330105W,2014,105 ELAM PARK,03-13-2014,Nuisance,Closed Nuisance,04-02-2014,true
34480204-208W4,2014,204-208 JOEY WAY,03-13-2014,Nuisance,Closed Nuisance,03-31-2014,true
15033230W4,2014,3230 PIMLICO PKWY,03-13-2014,Nuisance,Closed Nuisance,03-31-2014,true
15133105W2,2014,3105 PINE STRAW CT (AKA 3107),03-13-2014,Nuisance,Closed Nuisance,03-31-2014,true
18790503W2,2014,503 E THIRD ST,03-13-2014,Nuisance,Closed Nuisance,03-28-2014,true
18790505W,2014,505 E THIRD ST,03-13-2014,Nuisance,Closed Nuisance,03-28-2014,true
00781542W2,2014,1542 ASTAIRE DR,03-14-2014,Nuisance,Closed Nuisance,03-28-2014,true
00430564-566W6,2014,564-566 ANNISTON DR,03-14-2014,Nuisance,Closed Nuisance,03-31-2014,true
17852005W2,2014,2005 ST TERESA DR,03-14-2014,Nuisance,Closed Nuisance,04-01-2014,true
09820286W3,2014,286 IDLE HOUR DR,03-14-2014,Nuisance,Closed Nuisance,04-16-2014,true
17523362W12,2014,3362 SPANGLER DR,03-14-2014,Nuisance,Closed Nuisance,04-03-2014,true
07293876W,2014,3876 FOREST GREEN DR,03-14-2014,Nuisance,Closed Nuisance,04-03-2014,true
13080536W3,2014,536 MICHIGAN ST,03-17-2014,Nuisance,Closed Nuisance,04-14-2014,true
13080530W2,2014,530 MICHIGAN ST,03-17-2014,Nuisance,Closed Nuisance,04-14-2014,true
07861833W11,2014,1833 GERALD DR,03-17-2014,Nuisance,Closed Nuisance,04-01-2014,true
14080605W,2014,605 NORTHSIDE DR,03-17-2014,Nuisance,Closed Nuisance,04-01-2014,true
21162008W,2014,2008 WRITT CT,03-17-2014,Nuisance,Closed Nuisance,04-02-2014,true
16230690W,2014,690 ROGERS RD,03-17-2014,Nuisance,Closed Nuisance,04-18-2014,true
10140126W,2014,126 JESSELIN DR,03-17-2014,Nuisance,Closed Nuisance,04-03-2014,true
09730345W5,2014,345 HUMMINGBIRD LN,03-17-2014,Nuisance,Closed Nuisance,04-04-2014,true
09730365W8,2014,365 HUMMINGBIRD LN,03-17-2014,Nuisance,Closed Nuisance,04-04-2014,true
19171207W6,2014,1207 TRENT BLVD,03-17-2014,Nuisance,Closed Nuisance,04-16-2014,true
18790513W16,2014,513 E THIRD ST,03-17-2014,Nuisance,Closed Nuisance,04-01-2014,true
18790511W3,2014,511 E THIRD ST,03-17-2014,Nuisance,Closed Nuisance,04-01-2014,true
11661407W6,2014,1407 N LIMESTONE,03-17-2014,Nuisance,Closed Nuisance,04-17-2014,true
32210815W12,2014,815 NEWTOWN PIKE,03-18-2014,Nuisance,Closed Nuisance,04-07-2014,true
13080528W,2014,528 MICHIGAN ST,03-18-2014,Nuisance,Closed Nuisance,04-14-2014,true
13080458W11,2014,458 MICHIGAN ST,03-18-2014,Nuisance,Closed Nuisance,04-22-2014,true
20300207W,2014,207 WESTWOOD CT,03-18-2014,Nuisance,Closed Nuisance,04-08-2014,true
14600449W7,2014,449 PARK AVE,03-18-2014,Nuisance,Closed Nuisance,04-08-2014,true
11601003W,2014,1003 LIBERTY RD,03-18-2014,Nuisance,Closed Nuisance,04-01-2014,true
43732922W,2014,2922 CADENTOWN RD,03-18-2014,Nuisance,Closed Nuisance,04-02-2014,true
11700340W10,2014,340 LINCOLN AVE,03-18-2014,Nuisance,Closed Nuisance,04-08-2014,true
27560241W,2014,241 PLEASANT POINTE DR,03-18-2014,Nuisance,Closed Nuisance,04-08-2014,true
06400621W5,2014,621 ELK LAKE DR,03-18-2014,Nuisance,Closed Nuisance,04-08-2014,true
15033120-3130W7,2014,3120-3130 PIMLICO PKWY,03-18-2014,Nuisance,Closed Nuisance,04-14-2014,true
01610152W3,2014,152 BELT LINE AVE,03-18-2014,Nuisance,Closed Nuisance,04-04-2014,true
06760101W14,2014,101 FAIRLAWN AVE,03-18-2014,Nuisance,Closed Nuisance,04-10-2014,true
00430677-679W,2014,677-679 ANNISTON DR,03-19-2014,Nuisance,Closed Nuisance,04-02-2014,true
05151843W3,2014,1843 DALTON CT,03-19-2014,Nuisance,Closed Nuisance,04-03-2014,true
13411539W,2014,1539 MONTROSE DR,03-19-2014,Nuisance,Closed Nuisance,04-03-2014,true
14831093W2,2014,1093 PENNEBAKER DR,03-19-2014,Nuisance,Closed Nuisance,04-03-2014,true
16091844W6,2014,1844 RITTENHOUSE CT,03-19-2014,Nuisance,Closed Nuisance,04-03-2014,true
19930834-836W7,2014,834-836 WARD DR,03-19-2014,Nuisance,Closed Nuisance,04-03-2014,true
02530370W9,2014,370 S BROADWAY PARK,03-19-2014,Nuisance,Closed Nuisance,04-09-2014,true
07300229W18,2014,229 FOREST PARK RD,03-19-2014,Nuisance,Closed Nuisance,04-09-2014,true
31672620W,2014,2620 SIR BARTON WAY,03-19-2014,Nuisance,Closed Nuisance,04-02-2014,true
01650324W3,2014,324 BENT BOUGH PL,03-19-2014,Nuisance,Closed Nuisance,04-08-2014,true
06442408W4,2014,2408 ELKWOOD CT,03-19-2014,Nuisance,Closed Nuisance,04-08-2014,true
06442409W,2014,2409 ELKWOOD CT,03-19-2014,Nuisance,Closed Nuisance,04-09-2014,true
32094101W3,2014,4101 TATES CREEK CENTRE DR,03-19-2014,Nuisance,Closed Nuisance,04-08-2014,true
33240425W,2014,425 FAIRDALE DR,03-20-2014,Nuisance,Closed Nuisance,04-14-2014,true
02340786W,2014,786 BRAVINGTON WAY,03-20-2014,Nuisance,Closed Nuisance,04-10-2014,true
12721060W10,2014,1060 MAYWICK DR,03-20-2014,Nuisance,Closed Nuisance,05-01-2014,true
08421951W3,2014,1951 GREENLEAF DR,03-20-2014,Nuisance,Closed Nuisance,04-18-2014,true
19810612W,2014,612 WALDO WAY,03-20-2014,Nuisance,Closed Nuisance,04-18-2014,true
19430114W26,2014,114 UNIVERSITY AVE,03-20-2014,Nuisance,Closed Nuisance,04-10-2014,true
00681244W3,2014,1244 ASCOT PARK,03-20-2014,Nuisance,Closed Nuisance,05-06-2014,true
19890516W6,2014,516 N MARTIN LUTHER KING BLVD,03-20-2014,Nuisance,Closed Nuisance,04-04-2014,true
06470609W2,2014,609 ELM TREE LN,03-20-2014,Nuisance,Closed Nuisance,04-04-2014,true
06470621W11,2014,621 ELM TREE LN,03-20-2014,Nuisance,Closed Nuisance,04-04-2014,true
16830322W8,2014,322 E SECOND ST,03-20-2014,Nuisance,Closed Nuisance,04-11-2014,true
00231294W9,2014,1294 ALEXANDRIA DR,03-21-2014,Nuisance,Closed Nuisance,04-07-2014,true
16730248W7,2014,248 SAVOY RD,03-21-2014,Nuisance,Closed Nuisance,04-15-2014,true
02171258W,2014,1258 BORDEAUX DR,03-21-2014,Nuisance,Closed Nuisance,04-22-2014,true
05212017W11,2014,2017 DANIEL CT,03-21-2014,Nuisance,Closed Nuisance,04-22-2014,true
00232273W,2014,2273 ALEXANDRIA DR,03-21-2014,Nuisance,Closed Nuisance,04-11-2014,true
03891915W4,2014,1915 CHERRY CT,03-21-2014,Nuisance,Closed Nuisance,04-07-2014,true
03891921W6,2014,1921 CHERRY CT,03-21-2014,Nuisance,Closed Nuisance,04-07-2014,true
15892529W,2014,2529 REGENCY RD,03-21-2014,Nuisance,Closed Nuisance,04-10-2014,true
26220249W,2014,249 FOREST HILL DR,03-21-2014,Nuisance,Closed Nuisance,04-07-2014,true
32462068W6,2014,2068 CORNERSTONE DR,03-21-2014,Nuisance,Closed Nuisance,04-09-2014,true
06470513W,2014,513 ELM TREE LN,03-21-2014,Nuisance,Closed Nuisance,04-04-2014,true
01511922W4,2014,1922 BEDINGER CT,03-24-2014,Nuisance,Closed Nuisance,04-08-2014,true
19930843W11,2014,843 WARD DR,03-24-2014,Nuisance,Closed Nuisance,05-09-2014,true
32462092W5,2014,2092 CORNERSTONE DR,03-24-2014,Nuisance,Closed Nuisance,04-09-2014,true
32462076W5,2014,2076 CORNERSTONE DR,03-24-2014,Nuisance,Closed Nuisance,04-09-2014,true
32462016W2,2014,2016 CORNERSTONE DR,03-24-2014,Nuisance,Closed Nuisance,04-09-2014,true
32462060W5,2014,2060 CORNERSTONE DR,03-24-2014,Nuisance,Closed Nuisance,04-09-2014,true
15033100W4,2014,3100 PIMLICO PKWY,03-24-2014,Nuisance,Closed Nuisance,04-14-2014,true
06892101W5,2014,2101 FAYE CIR,03-25-2014,Nuisance,Closed Nuisance,04-09-2014,true
11820502-504W,2014,502-504 LISA DR,03-25-2014,Nuisance,Closed Nuisance,04-09-2014,true
14380266W16,2014,266 OSAGE CT,03-25-2014,Nuisance,Closed Nuisance,04-18-2014,true
07030516W2,2014,516 W FIFTH ST,03-25-2014,Nuisance,Closed Nuisance,04-18-2014,true
03252101W4,2014,2101 CARLA CT,03-26-2014,Nuisance,Closed Nuisance,04-10-2014,true
10590605W,2014,605 KENT DR,03-26-2014,Nuisance,Closed Nuisance,04-10-2014,true
16230535W,2014,535 ROGERS RD,03-26-2014,Nuisance,Closed Nuisance,04-10-2014,true
19430211W27,2014,211 UNIVERSITY AVE,03-26-2014,Nuisance,Closed Nuisance,03-28-2014,true
17930210W22,2014,210 STATE ST,03-26-2014,Nuisance,Closed Nuisance,03-28-2014,true
17930125W15,2014,125 STATE ST,03-26-2014,Nuisance,Closed Nuisance,03-28-2014,true
19430134W6,2014,134 UNIVERSITY AVE,03-26-2014,Nuisance,Closed Nuisance,03-28-2014,true
14380262W12,2014,262 OSAGE CT,03-26-2014,Nuisance,Closed Nuisance,04-18-2014,true
09090222W7,2014,222 HEDGEWOOD CT,03-26-2014,Nuisance,Closed Nuisance,05-05-2014,true
19440522W6,2014,522 N UPPER ST,03-26-2014,Nuisance,Closed Nuisance,04-10-2014,true
06001887W,2014,1887 DUNKIRK DR,03-27-2014,Nuisance,Closed Nuisance,04-15-2014,true
00231265-1267W,2014,1265-1267 ALEXANDRIA DR,03-27-2014,Nuisance,Closed Nuisance,04-22-2014,true
01900711W2,2014,711 BISKOFF CT,03-27-2014,Nuisance,Closed Nuisance,04-11-2014,true
10300554W,2014,554 JUDY LN,03-27-2014,Nuisance,Closed Nuisance,04-11-2014,true
19930821W8,2014,821 WARD DR,03-27-2014,Nuisance,Closed Nuisance,04-11-2014,true
19930817W10,2014,817 WARD DR,03-27-2014,Nuisance,Closed Nuisance,05-09-2014,true
14300435W12,2014,435 OLDHAM AVE,03-27-2014,Nuisance,Closed Nuisance,04-14-2014,true
36231121W5,2014,1121 APPIAN CROSSING WAY,03-27-2014,Nuisance,Closed Nuisance,04-21-2014,true
09200556W5,2014,556 HI CREST DR,03-28-2014,Nuisance,Closed Nuisance,04-14-2014,true
27822111W2,2014,2111 OLD PARIS RD,03-28-2014,Nuisance,Closed Nuisance,04-14-2014,true
00483624W2,2014,3624 APPIAN WAY (AKA 3626 APPIAN WAY),03-28-2014,Nuisance,Closed Nuisance,04-16-2014,true
05100710W10,2014,710 DAKOTA ST,03-28-2014,Nuisance,Closed Nuisance,04-16-2014,true
05100714W2,2014,714 DAKOTA ST,03-28-2014,Nuisance,Closed Nuisance,04-16-2014,true
42522663W,2014,2663 KEARNEY RIDGE BLVD,03-31-2014,Nuisance,Closed Nuisance,05-07-2014,true
18482064-2066W3,2014,2064-2066 TAMMY CT,03-31-2014,Nuisance,Closed Nuisance,04-15-2014,true
13972397W6,2014,2397 NICHOLASVILLE RD,03-31-2014,Nuisance,Closed Nuisance,04-16-2014,true
14300434W18,2014,434 OLDHAM AVE,03-31-2014,Nuisance,Closed Nuisance,04-16-2014,true
35940797W7,2014,797 NICKWOOD TRL,03-31-2014,Nuisance,Closed Nuisance,04-16-2014,true
14522430W,2014,2430 PALUMBO DR,03-31-2014,Nuisance,Closed Nuisance,04-16-2014,true
24874695W8,2014,4695 LAURELWOOD DR,03-31-2014,Nuisance,Closed Nuisance,04-17-2014,true
32730609W3,2014,609 BIG BEAR LN,03-31-2014,Nuisance,Closed Nuisance,04-23-2014,true
19634113W2,2014,4113 VICTORIA WAY (AKA 4111 VICTORIA WAY),03-31-2014,Nuisance,Closed Nuisance,04-21-2014,true
16840652W6,2014,652 W SECOND ST,04-01-2014,Nuisance,Closed Nuisance,04-22-2014,true
20330805W,2014,805 WHEATCROFT CT,04-01-2014,Nuisance,Closed Nuisance,04-16-2014,true
20330816W,2014,816 WHEATCROFT CT,04-01-2014,Nuisance,Closed Nuisance,04-16-2014,true
00911424W6,2014,1424 AUDUBON AVE,04-01-2014,Nuisance,Closed Nuisance,04-17-2014,true
08861946W,2014,1946 HARRODSBURG RD,04-01-2014,Nuisance,Closed Nuisance,04-22-2014,true
17341004W11,2014,1004 SLASHES RD,04-01-2014,Nuisance,Closed Nuisance,04-21-2014,true
32730611W5,2014,611 BIG BEAR LN,04-01-2014,Nuisance,Closed Nuisance,04-15-2014,true
32730613W6,2014,613 BIG BEAR LN,04-01-2014,Nuisance,Closed Nuisance,04-17-2014,true
00681261W5,2014,1261 ASCOT PARK,04-01-2014,Nuisance,Closed Nuisance,04-21-2014,true
32730611W6,2014,611 BIG BEAR LN,04-01-2014,Nuisance,Closed Nuisance,04-30-2014,true
03270443W,2014,443 CARLISLE AVE,04-01-2014,Nuisance,Closed Nuisance,04-18-2014,true
02360545W5,2014,545 BRECKENRIDGE ST,04-01-2014,Nuisance,Closed Nuisance,04-18-2014,true
05100737W9,2014,737 DAKOTA ST,04-01-2014,Nuisance,Closed Nuisance,04-18-2014,true
15811200W13,2014,1200 RED MILE RD,04-02-2014,Nuisance,Closed Nuisance,04-21-2014,true
02671686W4,2014,1686 BRYAN STATION RD,04-02-2014,Nuisance,Closed Nuisance,04-17-2014,true
02501709W,2014,1709 N BROADWAY,04-02-2014,Nuisance,Closed Nuisance,05-05-2014,true
19772945W3,2014,2945 WACO RD,04-02-2014,Nuisance,Closed Nuisance,04-21-2014,true
14181213W4,2014,1213 OCTAVIAN CIR,04-02-2014,Nuisance,Closed Nuisance,04-16-2014,true
03161304W5,2014,1304 CANONERO DR,04-02-2014,Nuisance,Closed Nuisance,04-23-2014,true
00621129W2,2014,1129 ARMSTRONG MILL RD,04-02-2014,Nuisance,Closed Nuisance,04-23-2014,true
13191186W,2014,1186 MILLCREEK DR (AKA 1188 MILLCREEK DR),04-02-2014,Nuisance,Closed Nuisance,04-22-2014,true
00483619W,2014,3619 APPIAN WAY (AKA 3617 APPIAN WAY),04-02-2014,Nuisance,Closed Nuisance,04-23-2014,true
00483625W2,2014,3625 APPIAN WAY,04-02-2014,Nuisance,Closed Nuisance,04-23-2014,true
23411232W3,2014,1232 APPIAN CIR,04-02-2014,Nuisance,Closed Nuisance,04-23-2014,true
31341206-1208W2,2014,1206-1208 ACCORD DR,04-02-2014,Nuisance,Closed Nuisance,04-23-2014,true
13191048W,2014,1048 MILLCREEK DR,04-02-2014,Nuisance,Closed Nuisance,04-23-2014,true
07393609W,2014,3609 FOX RUN RD,04-02-2014,Nuisance,Closed Nuisance,04-22-2014,true
02073665W6,2014,3665 BOLD BIDDER DR,04-02-2014,Nuisance,Closed Nuisance,04-23-2014,true
18601100W2,2014,1100 TATESBROOK DR,04-02-2014,Nuisance,Closed Nuisance,04-22-2014,true
18601176W,2014,1176 TATESBROOK DR,04-02-2014,Nuisance,Closed Nuisance,04-21-2014,true
18601187W2,2014,1187 TATESBROOK DR,04-02-2014,Nuisance,Closed Nuisance,04-21-2014,true
18601104W,2014,1104 TATESBROOK DR,04-02-2014,Nuisance,Closed Nuisance,04-21-2014,true
27091205W2,2014,1205 CROWN CIR,04-02-2014,Nuisance,Closed Nuisance,04-21-2014,true
12991151W4,2014,1151 MEREWOOD DR,04-02-2014,Nuisance,Closed Nuisance,04-22-2014,true
19171062W,2014,1062 TRENT BLVD,04-02-2014,Nuisance,Closed Nuisance,04-24-2014,true
02073609W2,2014,3609 BOLD BIDDER DR,04-02-2014,Nuisance,Closed Nuisance,04-23-2014,true
03641224-1226W5,2014,1224-1226 CENTRE PKWY,04-02-2014,Nuisance,Closed Nuisance,04-25-2014,true
13953611W3,2014,3611 NIAGARA DR,04-02-2014,Nuisance,Closed Nuisance,04-25-2014,true
13191178W,2014,1178 MILLCREEK DR (AKA 1180 MILLCREEK DR),04-02-2014,Nuisance,Closed Nuisance,04-30-2014,true
03641252W5,2014,1252 CENTRE PKWY,04-02-2014,Nuisance,Closed Nuisance,05-06-2014,true
19171190W3,2014,1190 TRENT BLVD,04-02-2014,Nuisance,Closed Nuisance,05-07-2014,true
19171187W3,2014,1187 TRENT BLVD,04-02-2014,Nuisance,Closed Nuisance,05-07-2014,true
18601195W,2014,1195 TATESBROOK DR,04-02-2014,Nuisance,Closed Nuisance,05-22-2014,true
06170128W16,2014,128 EDDIE ST,04-02-2014,Nuisance,Closed Nuisance,04-17-2014,true
06170189W5,2014,189 EDDIE ST,04-02-2014,Nuisance,Closed Nuisance,04-17-2014,true
06170188W4,2014,188 EDDIE ST,04-02-2014,Nuisance,Closed Nuisance,04-17-2014,true
16900195W9,2014,195 E SEVENTH ST,04-02-2014,Nuisance,Closed Nuisance,04-17-2014,true
06170166W6,2014,166 EDDIE ST,04-02-2014,Nuisance,Closed Nuisance,04-23-2014,true
06170167W5,2014,167 EDDIE ST,04-02-2014,Nuisance,Closed Nuisance,05-23-2014,true
03460231W3,2014,231 CASTLEWOOD DR,04-02-2014,Nuisance,Closed Nuisance,05-30-2014,true
30212828W2,2014,2828 GATEWAY PARK LN,04-03-2014,Nuisance,Closed Nuisance,05-13-2014,true
41481040W2,2014,1040 APPLECROSS DR,04-03-2014,Nuisance,Closed Nuisance,05-13-2014,true
05151847W3,2014,1847 DALTON CT,04-03-2014,Nuisance,Closed Nuisance,04-18-2014,true
21340319W,2014,319 ZANDALE DR,04-03-2014,Nuisance,Closed Nuisance,04-21-2014,true
17310431W2,2014,431 W SIXTH ST,04-03-2014,Nuisance,Closed Nuisance,05-08-2014,true
13761943W3,2014,1943 NATCHEZ TRL,04-04-2014,Nuisance,Closed Nuisance,05-08-2014,true
05151887W9,2014,1887 DALTON CT,04-04-2014,Nuisance,Closed Nuisance,04-21-2014,true
15722005W3,2014,2005 RANGE CT,04-04-2014,Nuisance,Closed Nuisance,04-21-2014,true
19930824W9,2014,824 WARD DR,04-04-2014,Nuisance,Closed Nuisance,04-21-2014,true
14972800W,2014,2800 PHOENIX RD,04-04-2014,Nuisance,Closed Nuisance,04-22-2014,true
07180616W4,2014,616 FOLKSTONE DR,04-04-2014,Nuisance,Closed Nuisance,04-23-2014,true
19171194W2,2014,1194 TRENT BLVD,04-04-2014,Nuisance,Closed Nuisance,04-22-2014,true
07393613W,2014,3613 FOX RUN RD,04-04-2014,Nuisance,Closed Nuisance,04-22-2014,true
14181213W5,2014,1213 OCTAVIAN CIR,04-04-2014,Nuisance,Closed Nuisance,05-05-2014,true
19890652W12,2014,652 N MARTIN LUTHER KING BLVD,04-04-2014,Nuisance,Closed Nuisance,04-21-2014,true
19890654W3,2014,654 N MARTIN LUTHER KING BLVD,04-04-2014,Nuisance,Closed Nuisance,05-05-2014,true
41060972W3,2014,972 SUNNY SLOPE TRCE,04-07-2014,Nuisance,Closed Nuisance,05-05-2014,true
01670558W,2014,558 BENTON RD,04-07-2014,Nuisance,Closed Nuisance,04-22-2014,true
14090177W2,2014,177 NORTHWOOD DR,04-07-2014,Nuisance,Closed Nuisance,04-22-2014,true
19930852W3,2014,852 WARD DR,04-07-2014,Nuisance,Closed Nuisance,04-22-2014,true
19930906-908W4,2014,906-908 WARD DR,04-07-2014,Nuisance,Closed Nuisance,04-22-2014,true
21273199W28,2014,3199 YELLOWSTONE PKWY,04-07-2014,Nuisance,Closed Nuisance,04-23-2014,true
03641106W5,2014,1106 CENTRE PKWY,04-07-2014,Nuisance,Closed Nuisance,04-23-2014,true
08403445W2,2014,3445 GREENLAWN DR,04-07-2014,Nuisance,Closed Nuisance,05-02-2014,true
03641108W4,2014,1108 CENTRE PKWY,04-07-2014,Nuisance,Closed Nuisance,05-13-2014,true
03641110W4,2014,1110 CENTRE PKWY,04-07-2014,Nuisance,Closed Nuisance,05-13-2014,true
14353503W2,2014,3503 OLYMPIA RD,04-07-2014,Nuisance,Closed Nuisance,05-22-2014,true
04173420W,2014,3420 CLAYS MILL RD,04-08-2014,Nuisance,Closed Nuisance,05-05-2014,true
153433863,2014,3386 POST RD,04-08-2014,Nuisance,Closed Nuisance,05-05-2014,true
21150624W,2014,624 WORCESTER RD,04-08-2014,Nuisance,Closed Nuisance,05-05-2014,true
00430641W18,2014,641 ANNISTON DR,04-08-2014,Nuisance,Closed Nuisance,05-08-2014,true
02840329W,2014,329 BURLEY AVE,04-08-2014,Nuisance,Closed Nuisance,04-24-2014,true
04172228W,2014,2228 CLAYS MILL RD,04-08-2014,Nuisance,Closed Nuisance,04-24-2014,true
17930218W7,2014,218 STATE ST,04-08-2014,Nuisance,Closed Nuisance,04-24-2014,true
32094101W4,2014,4101 TATES CREEK CENTRE DR,04-08-2014,Nuisance,Closed Nuisance,04-25-2014,true
08990418W4,2014,418 HAWKINS AVE,04-08-2014,Nuisance,Closed Nuisance,04-23-2014,true
13440462W5,2014,462 MORGAN AVE,04-08-2014,Nuisance,Closed Nuisance,04-28-2014,true
08990427W2,2014,427 HAWKINS AVE,04-08-2014,Nuisance,Closed Nuisance,05-05-2014,true
05100742W2,2014,742 DAKOTA ST,04-08-2014,Nuisance,Closed Nuisance,05-07-2014,true
